repair_id,stock_code,category,supplier,fault_reported,date_logged,cost_gbp,requires_approval,approval_status,approved_by,days_out_of_service
REP-3045,MH&-01644,Material Handling & Logistics,Vp Plant Repairs,Tyre/track replacement,2026-04-17,1048.19,True,Approved,National Ops & Systems Manager,8
REP-3046,C&G-02004,Cutting & Grinding,Southern Access Engineering,Hydraulic leak,2025-11-25,998.22,True,Approved,National Ops & Systems Manager,21
REP-3047,MH&-01473,Material Handling & Logistics,Vp Plant Repairs,Safety recall check,2026-04-04,2129.98,True,Pending,National Ops & Systems Manager,5
REP-3048,PA-01102,Powered Access,Southern Access Engineering,Hydraulic leak,2026-02-06,1643.09,True,Approved,National Ops & Systems Manager,21
REP-3049,AS&-01944,"Accommodation, Storage & Welfare",Southern Access Engineering,Battery/charging fault,2026-02-10,725.52,True,Approved,National Ops & Systems Manager,3
REP-3050,MH&-01522,Material Handling & Logistics,AFI Technical,Hydraulic leak,2026-03-03,1735.07,True,Approved,National Ops & Systems Manager,19
REP-3051,B&D-01316,Breakers & Drills,Southern Access Engineering,Hydraulic leak,2025-11-05,727.8,True,Approved,National Ops & Systems Manager,9
REP-3052,F&G-02526,Fuel & Gas,Southern Access Engineering,Tyre/track replacement,2025-11-09,3180.62,True,Approved,National Ops & Systems Manager,1
REP-3053,C&C-02489,Concreting & Compaction,AFI Technical,Structural damage,2025-11-18,2657.05,True,Approved,National Ops & Systems Manager,16
REP-3054,MH&-01597,Material Handling & Logistics,Southern Access Engineering,Electrical fault,2025-12-11,2849.05,True,Approved,National Ops & Systems Manager,19
REP-3055,B&D-01348,Breakers & Drills,Southern Access Engineering,Engine fault,2025-11-08,3426.43,True,Approved,National Ops & Systems Manager,6
REP-3056,B&D-01346,Breakers & Drills,Vp Plant Repairs,Safety recall check,2026-01-24,2598.13,True,Approved,National Ops & Systems Manager,1
REP-3057,C&G-02156,Cutting & Grinding,Speedy Fleet Services,Hydraulic leak,2026-03-29,3254.6,True,Approved,National Ops & Systems Manager,17
REP-3058,MH&-01658,Material Handling & Logistics,AFI Technical,Wear & tear service,2026-02-26,4031.56,True,Approved,National Ops & Systems Manager,5
REP-3059,AS&-01919,"Accommodation, Storage & Welfare",Speedy Fleet Services,Battery/charging fault,2026-02-22,690.93,True,Pending,National Ops & Systems Manager,8
REP-3060,AS&-01952,"Accommodation, Storage & Welfare",Southern Access Engineering,Hydraulic leak,2026-03-03,2512.46,True,Approved,National Ops & Systems Manager,14
REP-3061,C&G-02096,Cutting & Grinding,National Plant Repair Co,Battery/charging fault,2025-10-28,363.21,False,Not Required,,12
REP-3062,MH&-01692,Material Handling & Logistics,Southern Access Engineering,Electrical fault,2026-05-25,2584.63,True,Approved,National Ops & Systems Manager,21
REP-3063,C-02250,Cleaning,AFI Technical,Engine fault,2025-09-25,1105.89,True,Approved,National Ops & Systems Manager,17
REP-3064,B&D-01211,Breakers & Drills,Vp Plant Repairs,Engine fault,2026-02-22,1342.52,True,Approved,National Ops & Systems Manager,4
REP-3065,B&D-01277,Breakers & Drills,Independent Hydraulics Ltd,Structural damage,2025-09-26,3194.26,True,Approved,National Ops & Systems Manager,21
REP-3066,B&D-01290,Breakers & Drills,AFI Technical,Electrical fault,2026-06-08,3019.1,True,Pending,National Ops & Systems Manager,16
REP-3067,MH&-01531,Material Handling & Logistics,Vp Plant Repairs,Electrical fault,2026-04-04,2932.2,True,Approved,National Ops & Systems Manager,2
REP-3068,PA-01132,Powered Access,Vp Plant Repairs,Battery/charging fault,2025-11-02,2333.58,True,Approved,National Ops & Systems Manager,4
REP-3069,F&F-02465,Fixing & Fastening,Speedy Fleet Services,Safety recall check,2026-01-08,1208.15,True,Pending,National Ops & Systems Manager,4
REP-3070,C-02222,Cleaning,Independent Hydraulics Ltd,Safety recall check,2026-03-01,2030.03,True,Pending,National Ops & Systems Manager,7
REP-3071,C&G-02171,Cutting & Grinding,National Plant Repair Co,Hydraulic leak,2025-10-06,3866.19,True,Approved,National Ops & Systems Manager,21
REP-3072,SV&-02414,"Safety, Ventilation & Extraction",Vp Plant Repairs,Engine fault,2025-10-26,2948.41,True,Approved,National Ops & Systems Manager,14
REP-3073,MH&-01569,Material Handling & Logistics,Vp Plant Repairs,Safety recall check,2026-05-20,3771.93,True,Pending,National Ops & Systems Manager,18
REP-3074,SE&-02575,Site Equipment & Groundworks,Independent Hydraulics Ltd,Structural damage,2025-10-23,3199.11,True,Approved,National Ops & Systems Manager,19
REP-3075,B&D-01279,Breakers & Drills,Southern Access Engineering,Tyre/track replacement,2026-04-05,1595.23,True,Approved,National Ops & Systems Manager,2
REP-3076,LE-01762,Lifting Equipment,National Plant Repair Co,Structural damage,2026-05-22,2582.65,True,Approved,National Ops & Systems Manager,6
REP-3077,B&D-01226,Breakers & Drills,Speedy Fleet Services,Battery/charging fault,2026-01-08,3454.91,True,Pending,National Ops & Systems Manager,14
REP-3078,LE-01698,Lifting Equipment,Independent Hydraulics Ltd,Electrical fault,2025-11-19,311.17,False,Not Required,,15
REP-3079,B&D-01184,Breakers & Drills,AFI Technical,Tyre/track replacement,2025-12-31,3204.39,True,Approved,National Ops & Systems Manager,6
REP-3080,PA-01172,Powered Access,Speedy Fleet Services,Electrical fault,2026-07-07,1236.64,True,Approved,National Ops & Systems Manager,5
REP-3081,MH&-01518,Material Handling & Logistics,AFI Technical,Wear & tear service,2026-05-20,855.66,True,Approved,National Ops & Systems Manager,17
REP-3082,P-01050,Plant,Speedy Fleet Services,Battery/charging fault,2026-01-13,3124.07,True,Approved,National Ops & Systems Manager,8
REP-3083,MH&-01584,Material Handling & Logistics,Southern Access Engineering,Tyre/track replacement,2026-05-11,1415.96,True,Approved,National Ops & Systems Manager,7
REP-3084,MH&-01479,Material Handling & Logistics,Speedy Fleet Services,Safety recall check,2025-11-12,1120.41,True,Rejected,National Ops & Systems Manager,14
REP-3085,PA-01084,Powered Access,Southern Access Engineering,Structural damage,2026-06-25,3062.85,True,Approved,National Ops & Systems Manager,6
REP-3086,P-01005,Plant,Independent Hydraulics Ltd,Structural damage,2026-07-12,1832.19,True,Approved,National Ops & Systems Manager,8
REP-3087,PA-01091,Powered Access,Speedy Fleet Services,Safety recall check,2026-03-08,2336.53,True,Approved,National Ops & Systems Manager,21
REP-3088,LE-01717,Lifting Equipment,AFI Technical,Electrical fault,2026-01-21,3482.17,True,Approved,National Ops & Systems Manager,2
REP-3089,B&D-01219,Breakers & Drills,Independent Hydraulics Ltd,Battery/charging fault,2026-04-20,3758.67,True,Rejected,National Ops & Systems Manager,8
